[TRACE  ][0][2013-05-17T14:57:59.899793]:[2792]: Cards received: ('Ace' of 'Hearts')('Ten' of 'Clubs')('Nine' of 'Diamonds')('Seven' of 'Clubs')('Queen' of 'Clubs') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:58:00.597833]:[5868]: Player: 'CLRN', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:00.877849]:[5868]: Player: 'jclark468', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:01.039858]:[5868]: Cards received: ('Six' of 'Diamonds')('Four' of 'Spades')('Four' of 'Clubs')('Ace' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-05-17T14:58:02.779958]:[5720]: Player: 'MOESFRED', stack: '1925' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:02.781958]:[5720]: Player: 'MOESFRED', action: 'Bet', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:02.798959]:[5720]: Player: 'poppycat1234', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:02.937967]:[2792]: Player: 'Capt11111', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:03.218983]:[5868]: Player: 'olegjet727', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:03.780015]:[5720]: Player: 'BAD042', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:03.790015]:[5720]: Player: 'MOESFRED', stack: '1485' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:03.792015]:[5720]: Player: 'MOESFRED', action: 'MoneyReturn', amount: '50' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-05-17T14:58:05.183095]:[2792]: Player: 'sganafrost', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
