[TRACE  ][0][2013-04-21T23:28:33.224810]:[5488]: Player: 'sharky6969', action: 'BigBlind', amount: '20' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:28:33.250811]:[5488]: Player cards: ('Ten' of 'Clubs')('Seven' of 'Clubs') /* clnt::ps::msg::PlayerCards::Process */
[TRACE  ][0][2013-04-21T23:28:36.250983]:[5488]: Player: '3FingerJimbo', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:36.532999]:[5488]: Player: 'Suzi_Q_121', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:39.597174]:[5488]: Player: 'CLRN', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:40.171207]:[5488]: Player: 'GeWe40', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:40.465224]:[5488]: Player: 'Vilochka1405', stack: '1560' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:40.467224]:[5488]: Player: 'Vilochka1405', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:40.477224]:[5488]: Player: 'PS*Bill', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:44.123433]:[5488]: Player: 'Frunzelhuhn', stack: '1730' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:44.123433]:[5488]: Player: 'Frunzelhuhn', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:48.410678]:[5488]: Player: 'Loomis59', stack: '1380' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:48.412678]:[5488]: Player: 'Loomis59', action: 'Call', amount: '10' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:48.828702]:[5488]: Player: 'sharky6969', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:49.446738]:[5488]: Cards received: ('King' of 'Clubs')('Ace' of 'Hearts')('Five' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-21T23:28:58.289243]:[5488]: Player: 'Loomis59', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:28:59.745327]:[5488]: Player: 'Loomis59', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:00.034343]:[5488]: Player: 'sharky6969', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:02.610490]:[5488]: Player: 'Vilochka1405', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:02.899507]:[5488]: Player: 'Frunzelhuhn', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:03.061516]:[5488]: Cards received: ('King' of 'Clubs')('Ace' of 'Hearts')('Five' of 'Diamonds')('Three' of 'Hearts') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-21T23:29:08.868848]:[5488]: Player: 'Loomis59', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:08.875849]:[5488]: Player: 'sharky6969', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:10.317931]:[5488]: Player: 'Vilochka1405', stack: '1540' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:10.319931]:[5488]: Player: 'Vilochka1405', action: 'Bet', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:10.611948]:[5488]: Player: 'Frunzelhuhn', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:13.597119]:[5488]: Player: 'Loomis59', stack: '1360' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:13.599119]:[5488]: Player: 'Loomis59', action: 'Call', amount: '20' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:21.926595]:[5488]: Player: 'sharky6969', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:25.694811]:[5488]: Player: 'sharky6969', action: 'Fold', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:26.308846]:[5488]: Cards received: ('King' of 'Clubs')('Ace' of 'Hearts')('Five' of 'Diamonds')('Three' of 'Hearts')('Four' of 'Diamonds') /* clnt::ps::msg::FlopCards::Process */
[TRACE  ][0][2013-04-21T23:29:28.656980]:[5488]: Player: 'Loomis59', action: 'Check', amount: '0' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:36.743443]:[5488]: Player: 'Vilochka1405', action: 'SecondsLeft', amount: '14' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:46.109978]:[5488]: Player: 'Vilochka1405', stack: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:46.111979]:[5488]: Player: 'Vilochka1405', action: 'Bet', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:49.680183]:[5488]: Player: 'Loomis59', stack: '1160' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:49.682183]:[5488]: Player: 'Loomis59', action: 'Call', amount: '200' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:50.261216]:[5488]: Player: 'Vilochka1405', action: 'ShowCards', cards: 'Ks9d' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:50.266216]:[5488]: Player: 'Loomis59', stack: '1340' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:50.268216]:[5488]: Player: 'Loomis59', action: 'ShowCards', cards: '3dKd' /* clnt::ps::msg::PlayerAction::Process */
[TRACE  ][0][2013-04-21T23:29:53.510402]:[5488]: Player: 'sharky6969', stack: '1450' /* clnt::ps::msg::BeforePreflopActions::Process */
[TRACE  ][0][2013-04-21T23:29:53.511402]:[5488]: Player: '3FingerJimbo', stack: '1480' /* clnt::ps::msg::BeforePreflopActions::Process */
